year,title,directors_0,rating,genres_0,genres_1,rank,running_time_secs,actors_0,actors_1,actors_2,directors_1,directors_2
2013,Rush,Ron Howard,8.3,Action,Biography,2,7380,Daniel Bruhl,Chris Hemsworth,Olivia Wilde,,
2013,Prisoners,Denis Villeneuve,8.2,Crime,Drama,3,9180,Hugh Jackman,Jake Gyllenhaal,Viola Davis,,
2013,The Hunger Games: Catching Fire,Francis Lawrence,,Action,Adventure,4,8760,Jennifer Lawrence,Josh Hutcherson,Liam Hemsworth,,
2013,Thor: The Dark World,Alan Taylor,,Action,Adventure,5,,Chris Hemsworth,Natalie Portman,Tom Hiddleston,,
2013,This Is the End,Evan Goldberg,7.2,Comedy,Fantasy,6,6420,James Franco,Jonah Hill,Seth Rogen,Seth Rogen,
2013,Insidious: Chapter 2,James Wan,7.1,Horror,Thriller,7,6360,Patrick Wilson,Rose Byrne,Barbara Hershey,,
2013,World War Z,Marc Forster,7.1,Action,Adventure,8,6960,Brad Pitt,Mireille Enos,Daniella Kertesz,,
2014,X-Men: Days of Future Past,Bryan Singer,,Action,Adventure,9,,Jennifer Lawrence,Hugh Jackman,Michael Fassbender,,
2014,Transformers: Age of Extinction,Michael Bay,,Action,Adventure,10,,Mark Wahlberg,Nicola Peltz,Jack Reynor,,
2013,Now You See Me,Louis Leterrier,7.3,Crime,Mystery,11,6900,Jesse Eisenberg,Common,Mark Ruffalo,,
2013,Gravity,Alfonso Cuaron,8.2,Drama,Sci-Fi,12,5400,Sandra Bullock,George Clooney,Ed Harris,,
2013,We're the Millers,Rawson Marshall Thurber,7.2,Comedy,Crime,13,6600,Jason Sudeikis,Jennifer Aniston,Emma Roberts,,
2013,Riddick,David Twohy,6.8,Action,Sci-Fi,14,7140,Vin Diesel,Karl Urban,Katee Sackhoff,,
2013,The Family,Luc Besson,6.5,Action,Comedy,15,6660,Robert De Niro,Michelle Pfeiffer,Dianna Agron,,
2013,Star Trek Into Darkness,J.J. Abrams,7.9,Action,Adventure,16,7920,Chris Pine,Zachary Quinto,Zoe Saldana,,
2013,After Earth,M. Night Shyamalan,4.9,Action,Adventure,17,6000,Jaden Smith,David Denman,Will Smith,,
2013,The Great Gatsby,Baz Luhrmann,7.3,Drama,Romance,18,8580,Leonardo DiCaprio,Carey Mulligan,Joel Edgerton,,
2014,Divergent,Neil Burger,,Action,Adventure,20,,Shailene Woodley,Kate Winslet,Zoe Kravitz,,
2013,We Are What We Are,Jim Mickle,6.2,Drama,Horror,21,6300,Bill Sage,Ambyr Childers,Julia Garner,,
2013,Iron Man 3,Shane Black,7.4,Action,Adventure,22,7800,Robert Downey Jr.,Guy Pearce,Gwyneth Paltrow,,
2014,The Amazing Spider-Man 2,Marc Webb,,Action,Adventure,23,,Andrew Garfield,Emma Stone,Jamie Foxx,,
2013,Curse of Chucky,Don Mancini,5.7,Horror,Thriller,24,5820,Chantal Quesnelle,Fiona Dourif,Danielle Bisutti,,
2013,The Conjuring,James Wan,7.7,Horror,Thriller,25,6720,Patrick Wilson,Vera Farmiga,Ron Livingston,,
2013,Oldboy,Spike Lee,,Action,Drama,26,,Josh Brolin,Elizabeth Olsen,Samuel L. Jackson,,
2013,Escape Plan,Mikael Hafstrom,7.6,Action,Mystery,27,6960,Sylvester Stallone,Arnold Schwarzenegger,50 Cent,,
2013,Elysium,Neill Blomkamp,7,Action,Drama,28,6540,Matt Damon,Jodie Foster,Sharlto Copley,,
2013,Cloudy with a Chance of Meatballs 2,Cody Cameron,6.7,Animation,Comedy,29,5700,Bill Hader,Anna Faris,Will Forte,Kris Pearn,
2014,RoboCop,Jose Padilha,,Action,Crime,30,,Joel Kinnaman,Douglas Urbanski,Abbie Cornish,,
2013,Carrie,Kimberly Peirce,,Drama,Horror,31,,Chloe Grace Moretz,Julianne Moore,Judy Greer,,
2013,The Mortal Instruments: City of Bones,Harald Zwart,6.6,Action,Adventure,32,7800,Lily Collins,Jamie Campbell Bower,Robert Sheehan,,
2014,Captain America: The Winter Soldier,Anthony Russo,,Action,Adventure,33,,Chris Evans,Frank Grillo,Sebastian Stan,Joe Russo,
2014,Need for Speed,Scott Waugh,,Action,,34,,Aaron Paul,Chillie Mo,Dominic Cooper,,
2013,Runner Runner,Brad Furman,5.4,Crime,Drama,35,5460,Ben Affleck,Justin Timberlake,Gemma Arterton,,
2013,I Spit on Your Grave 2,Steven R. Monroe,5.5,Crime,Horror,36,6360,Jemma Dallender,Yavor Baharov,Joe Absolom,,
2013,Battle of the Year,Benson Lee,3.5,Music,,37,6600,Josh Holloway,Laz Alonso,Josh Peck,,
2013,Behind the Candelabra,Steven Soderbergh,7,Biography,Drama,38,7080,Matt Damon,Scott Bakula,Eric Zuckerman,,
2013,No se Aceptan Devoluciones,Eugenio Derbez,6.9,Comedy,Drama,39,6900,Eugenio Derbez,Karla Souza,Jessica Lindsey,,
2013,The Bling Ring,Sofia Coppola,5.8,Crime,Drama,41,5400,Katie Chang,Israel Broussard,Emma Watson,,
2013,Furious 6,Justin Lin,7.2,Action,Crime,42,7800,Vin Diesel,Paul Walker,Dwayne Johnson,,
2013,Machete Kills,Robert Rodriguez,6.3,Action,Crime,43,6420,Danny Trejo,Alexa Vega,Mel Gibson,,
2013,12 Years a Slave,Steve McQueen,7.7,Biography,Drama,44,7980,Chiwetel Ejiofor,Michael K. Williams,Michael Fassbender,,
2013,The World's End,Edgar Wright,7.5,Action,Comedy,45,6540,Simon Pegg,Nick Frost,Martin Freeman,,
2012,Pitch Perfect,Jason Moore,7.1,Comedy,Music,46,6720,Anna Kendrick,Brittany Snow,Rebel Wilson,,
2013,Epic,Chris Wedge,6.6,Animation,Adventure,47,6120,Amanda Seyfried,Josh Hutcherson,Beyonce Knowles,,
2012,The Avengers,Joss Whedon,8.2,Action,Fantasy,48,8580,Robert Downey Jr.,Chris Evans,Scarlett Johansson,,
2013,Metallica Through the Never,Nimrod Antal,7.8,Action,Music,49,5640,Dane DeHaan,James Hetfield,Lars Ulrich,,
2013,Oblivion,Joseph Kosinski,7,Action,Adventure,50,7440,Tom Cruise,Morgan Freeman,Andrea Riseborough,,
2013,Dom Hemingway,Richard Shepard,6.9,Comedy,Crime,51,5580,Jude Law,Richard E. Grant,Demian Bichir,,
2013,The Hangover Part III,Todd Phillips,5.9,Comedy,,52,6000,Bradley Cooper,Zach Galifianakis,Ed Helms,,
2013,Despicable Me 2,Pierre Coffin,7.7,Animation,Adventure,55,5880,Steve Carell,Kristen Wiig,Benjamin Bratt,Chris Renaud,
2013,The Butler,Lee Daniels,6.6,Biography,Drama,56,7920,Forest Whitaker,Oprah Winfrey,John Cusack,,
2014,Dumb and Dumber To,Bobby Farrelly,,Comedy,,57,,Jennifer Lawrence,Jim Carrey,Jeff Daniels,Peter Farrelly,
2013,Blue Jasmine,Woody Allen,7.8,Comedy,Drama,58,5880,Cate Blanchett,Alec Baldwin,Peter Sarsgaard,,
2013,Ender's Game,Gavin Hood,,Action,Adventure,59,6840,Harrison Ford,Asa Butterfield,Hailee Steinfeld,,
2013,White House Down,Roland Emmerich,6.4,Action,Drama,60,7860,Channing Tatum,Jamie Foxx,Maggie Gyllenhaal,,
2013,Pain & Gain,Michael Bay,6.5,Comedy,Crime,61,7740,Mark Wahlberg,Dwayne Johnson,Anthony Mackie,,
2013,2 Guns,Baltasar Kormakur,7,Action,Comedy,62,6540,Denzel Washington,Mark Wahlberg,Paula Patton,,
2012,The Dark Knight Rises,Christopher Nolan,8.6,Action,Crime,63,9900,Christian Bale,Tom Hardy,Anne Hathaway,,
2012,The Place Beyond the Pines,Derek Cianfrance,7.4,Crime,Drama,64,8400,Ryan Gosling,Bradley Cooper,Eva Mendes,,
2014,Fast & Furious 7,James Wan,,Action,Crime,65,,Vin Diesel,Paul Walker,Dwayne Johnson,,
2013,jOBS,Joshua Michael Stern,5.6,Biography,Drama,66,7680,Ashton Kutcher,Dermot Mulroney,Josh Gad,,
2012,Disconnect,Henry Alex Rubin,7.5,Drama,Thriller,67,6900,Jason Bateman,Jonah Bobo,Haley Ramm,,
2011,Bridesmaids,Paul Feig,6.8,Comedy,Romance,68,7500,Kristen Wiig,Maya Rudolph,Rose Byrne,,
